Nama vila,Lokasi,Ratting,Fasilitas,Nilai Kebersihan,Nilai Keakuratan,Nilai Check in,Nilai Komunikasi,Nilai Lokasi,Nilai ekonomis,Harga,Minimum menginap,Source_Location
Refined Luxury Villa Near Seminyak w/ Sports Court,"Kecamatan Kuta Utara, Bali, Indonesia",4.88,6 tamu ·  · 3 kamar tidur ·  · 3 tempat tidur ·  · 3 kamar mandi,4.9,4.9,4.8,4.8,4.6,4.8,¥ 96.041,untuk 2 malam,6. Seminyak
Vila Bergaya untuk Rombongan di Dekat Tempat Populer Seminyak,"Kecamatan Kuta Utara, Bali, Indonesia",4.88,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.8,4.9,5.0,4.8,4.9,4.8,¥ 53.742,untuk 2 malam,6. Seminyak
Placid Nature Haven dengan Kolam Pribadi | Ubud Tengah,"Ubud, Bali, Indonesia",4.52 ,6 tamu ·  · 3 kamar tidur ·  · 3 tempat tidur ·  · 3 kamar mandi,4.4,4.6,4.7,4.7,4.4,4.6,¥ 16.426,untuk 1 malam,8. Ubud
Penginapan Ubud Dengan Kolam Renang Infinity & Pemandangan Hutan yang Rimbun,"Ubud, Bali, Indonesia",4.88 ,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.9,4.9,4.8,4.9,4.7,4.8,¥ 45.923,untuk 2 malam,8. Ubud
Ubud's Escape: Modern Villa w/Jungle - View Hot Tub,"Ubud, Bali, Indonesia",4.0 ,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.0,5.0,4.3,5.0,3.7,4.3,,tidak tersedia,8. Ubud
Ubud Jungle Oasis: Bak Mandi Air Panas Pribadi untuk Bersantai.,"Ubud, Bali, Indonesia",4.52 ,1 tempat tidur queen ·  · Kamar mandi pribadi di kamar,4.3,4.6,4.8,4.6,4.5,4.6,,tidak tersedia,8. Ubud
Whispering Woods Villa: Liburan Damai dengan Kolam Renang,"Ubud, Bali, Indonesia",4.53 ,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi,4.5,4.5,4.6,4.9,4.4,4.6,¥ 8.841,untuk 1 malam,8. Ubud
Liburan Alam Pribadi Ubud dengan Pemandangan Hutan,"Ubud, Bali, Indonesia",4.83 ,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi,4.7,4.8,4.8,4.9,4.6,4.9,¥ 12.228,untuk 1 malam,8. Ubud
Vila Tenang dengan Kolam Renang Pribadi di Ubud Lush Embrace,"Kabupaten Gianyar, Bali, Indonesia",4.87 ,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.9,4.8,4.8,4.8,4.6,4.8,¥ 32.769,untuk 2 malam,8. Ubud
Vila Kolam Renang Pribadi di Emerald Paradise Ubud,"Kabupaten Gianyar, Bali, Indonesia",4.78 ,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi,4.8,4.8,4.7,4.8,4.5,4.7,¥ 13.380,untuk 1 malam,8. Ubud
Liburan Pasangan di Sawah Ubud yang Menakjubkan,"Kecamatan Tegallalang, Bali, Indonesia",4.94 ,"2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1,5 kamar mandi",4.9,4.9,4.8,4.8,4.7,4.8,¥ 40.392,untuk 2 malam,8. Ubud
Harmonious Ubud Retreat Poolside Villa for Couples,"Kecamatan Ubud, Bali, Indonesia",4.88 ,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 2 kamar mandi,5.0,4.9,4.9,4.9,4.5,4.9,¥ 32.839,untuk 2 malam,8. Ubud
Blissful Ubud Pool Room w/ Leafy Garden Scenery,"Kecamatan Ubud, Bali, Indonesia",4.83 ,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.7,4.8,4.8,4.8,4.8,4.8,¥ 6.466,untuk 1 malam,8. Ubud
Vila Bali di Surga Keluarga Ubud dengan Kolam Renang,"Kecamatan Ubud, Bali, Indonesia",Baru,6 tamu ·  · 3 kamar tidur ·  · 3 tempat tidur ·  · 3 kamar mandi,0.0,0.0,0.0,0.0,0.0,0.0,¥ 17.703,untuk 1 malam,8. Ubud
Penginapan Tepi Kolam Ubud Autentik di Antara Sawah,"Kecamatan Tegallalang, Bali, Indonesia",4.92 ,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi,4.8,4.9,4.8,4.8,4.8,4.8,¥ 32.174,untuk 2 malam,8. Ubud
Villa Desainer Touches di Ubud dengan Pemandangan Rimba,"Kecamatan Ubud, Bali, Indonesia",5.0 ,8 tamu ·  · 4 kamar tidur ·  · 4 tempat tidur ·  · 4 kamar mandi,5.0,5.0,5.0,4.8,4.8,5.0,¥ 132.534,untuk 2 malam,8. Ubud
Liburan Sempurna untuk Keluarga di Dekat Pantai Pandawa,"Kecamatan Kuta Selatan, Bali, Indonesia",4.75,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.9,4.7,4.6,4.8,4.0,4.7,¥ 32.143,untuk 2 malam,4. Nusadua
Vila Mewah Tepi Laut di Nusa Dua dengan Pantai Pribadi,"Nusa Dua, South Kuta, Bali, Indonesia",4.77,8 tamu ·  · 3 kamar tidur ·  · 3 tempat tidur ·  · 3 kamar mandi,4.7,4.8,4.9,4.8,4.5,4.6,¥ 89.729,untuk 1 malam,4. Nusadua
Ultimate Nusa Dua Seafront Villa dengan Private Beach,"Nusa Dua, Bali, Indonesia",4.84,6 tamu ·  · 3 kamar tidur ·  · 3 tempat tidur ·  · 4 kamar mandi,4.8,4.9,4.9,4.6,4.5,4.8,¥ 159.118,untuk 2 malam,4. Nusadua
Vila Keluarga Cita Rasa dengan Kolam Renang Dekat Pantai Pandawa,"Kecamatan Kuta Selatan, Bali, Indonesia",4.63,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.7,4.7,4.6,4.7,4.5,4.6,¥ 18.170,untuk 2 malam,4. Nusadua
Jelajahi Pantai Pandawa Dari Vila Kutuh Ini,"Kecamatan Kuta Selatan, Bali, Indonesia",4.81,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.8,4.8,5.0,4.8,4.6,4.8,¥ 22.585,untuk 2 malam,4. Nusadua
Vila Kolam Renang Arsitektur Canggih di Nusa Dua,"Kecamatan Kuta Selatan, Bali, Indonesia",4.38,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.4,4.4,4.9,4.2,4.5,4.5,¥ 28.628,untuk 2 malam,4. Nusadua
Kutuh's Quiet Verdant Room Near to Pandawa Beach,"Kecamatan Kuta Selatan, Bali, Indonesia",4.65,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.7,4.7,4.7,4.7,4.4,4.7,¥ 5.242,untuk 1 malam,4. Nusadua
Liburan Indah di Kutuh dengan Kolam Renang Dekat Pantai Pandawa,"Kecamatan Kuta Selatan, Bali, Indonesia",4.81,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,5.0,4.9,4.9,4.8,4.3,4.8,¥ 5.925,untuk 1 malam,4. Nusadua
