web-scraper-order,web-scraper-start-url,Daftar singgah di canggu,Daftar singgah di canggu-href,Nama vila,Lokasi,Ratting,Fasilitas,Nilai Kebersihan,Nilai Keakuratan,Nilai Check in,Nilai Komunikasi,Nilai Lokasi,Nilai ekonomis,Harga,Minimum menginap,Source_Location,Daftar sinngah dibingin,Daftar sinngah dibingin-href,daftar singgah di jimbaran,daftar singgah di jimbaran-href,Daftar singgah di ungasan,Daftar singgah di ungasan-href,daftar singgah di sidemen dan kintamani,daftar singgah di sidemen dan kintamani-href,daftar singgah di uluwatu,daftar singgah di uluwatu-href,Daftar singgah di pererenan,Daftar singgah di pererenan-href,Daftar singgah di seminyak,Daftar singgah di seminyak-href,Daftar singgah diubud,Daftar singgah diubud-href,daftar singgah di nusa dua,daftar singgah di nusa dua-href
1750278121-20,https://www.airbnb.co.id/wishlists/v/1606472580?view_only_token=6d8eb186-7f74-4541-8619-f31b304bfc2e&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,"Penginapan yang semarak dengan Kolam Renang, Beberapa Langkah dari Pantai Bingin","Kuta Selatan, Bali, Indonesia",4.78,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.8,4.8,4.9,4.8,4.8,4.7,¥ 15.271,untuk 1 malam,1. Bingin,,https://www.airbnb.co.id/rooms/23364064?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004387864531&source_impression_id=p3_1750277701_P3y5HeGloOnyKoqz&previous_page_section_name=1000,,,,,,,,,,,,,,,,
1750278141-21,https://www.airbnb.co.id/wishlists/v/1606472580?view_only_token=6d8eb186-7f74-4541-8619-f31b304bfc2e&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Ultimate Surfer's Retreat di Bingin dengan Kolam Renang,"Kuta Selatan, Bali, Indonesia",4.85,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.9,4.9,4.8,4.9,4.8,4.8,¥ 13.902,untuk 1 malam,1. Bingin,,https://www.airbnb.co.id/rooms/23968293?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004387866990&source_impression_id=p3_1750277701_P32E5u7ywpM7vQi4&previous_page_section_name=1000,,,,,,,,,,,,,,,,
1750278161-22,https://www.airbnb.co.id/wishlists/v/1606472580?view_only_token=6d8eb186-7f74-4541-8619-f31b304bfc2e&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Vila Terpencil yang diterangi matahari dengan Kolam Renang | Dekat Pantai Bingin,"Kecamatan Kuta Selatan, Bali, Indonesia",4.8,"6 tamu ·  · 3 kamar tidur ·  · 3 tempat tidur ·  · 3,5 kamar mandi",4.6,4.8,4.8,4.9,4.4,4.8,¥ 61.001,untuk 2 malam,1. Bingin,,https://www.airbnb.co.id/rooms/1130866930200213460?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004387867866&source_impression_id=p3_1750277701_P3Clq1QRquM-UA18&previous_page_section_name=1000,,,,,,,,,,,,,,,,
1750278181-23,https://www.airbnb.co.id/wishlists/v/1606472580?view_only_token=6d8eb186-7f74-4541-8619-f31b304bfc2e&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Dreamy Haven dengan Kolam Renang | 300 m dari Pantai Bingin,"Bingin Beach, Bali, Indonesia",4.76,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.7,4.8,4.7,4.8,4.8,4.7,¥ 34.535,untuk 1 malam,1. Bingin,,https://www.airbnb.co.id/rooms/1151074800709335738?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004387870079&source_impression_id=p3_1750277701_P3QHJivhAK0hzdEd&previous_page_section_name=1000,,,,,,,,,,,,,,,,
1750278201-24,https://www.airbnb.co.id/wishlists/v/1606472580?view_only_token=6d8eb186-7f74-4541-8619-f31b304bfc2e&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Vila Liburan Keluarga di Dekat Pantai Bingin dengan BBQ,"Kecamatan Kuta Selatan, Bali, Indonesia",4.98,"6 tamu ·  · 3 kamar tidur ·  · 3 tempat tidur ·  · 3,5 kamar mandi",5.0,5.0,5.0,5.0,4.5,5.0,¥ 22.949,untuk 1 malam,1. Bingin,,https://www.airbnb.co.id/rooms/1201807361024443576?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004759268100&source_impression_id=p3_1750277701_P3moG_izFmKibbKD&previous_page_section_name=1000,,,,,,,,,,,,,,,,
1750363954-1,https://id.airbnb.com/wishlists/v/1636252754?view_only_token=a2d073d9-5040-4cd1-b8f5-e4a14ff1a110&_set_bev_on_new_domain=1749222514_EAZDk2MTg0NDY0MW,,,Villa Elegan dengan Pemandangan Indah di Jimbaran,"Kecamatan Kuta Selatan, Bali, Indonesia",4.68,7 tamu ·  · 4 kamar tidur ·  · 4 tempat tidur ·  · 4 kamar mandi,4.6,4.8,4.8,4.7,4.5,4.6,¥ 36.582,untuk 2 malam,3. Jimbaran,,,,https://id.airbnb.com/rooms/1175771410983842926?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004216702609&source_impression_id=p3_1750363916_P3IBXeYNyOKf80ZR&previous_page_section_name=1000,,,,,,,,,,,,,,
1750363974-2,https://id.airbnb.com/wishlists/v/1636252754?view_only_token=a2d073d9-5040-4cd1-b8f5-e4a14ff1a110&_set_bev_on_new_domain=1749222514_EAZDk2MTg0NDY0MW,,,Berkumpul & Bersantai Vila Keluarga Jimbaran Dengan Kolam Renang,"Kecamatan Kuta Selatan, Bali, Indonesia",4.76,10 tamu ·  · 5 kamar tidur ·  · 7 tempat tidur ·  · 5 kamar mandi,4.7,4.9,4.9,5.0,4.3,4.9,¥ 22.504,untuk 1 malam,3. Jimbaran,,,,https://id.airbnb.com/rooms/1249728829671690698?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004216703446&source_impression_id=p3_1750363916_P3NLAlZrZUK6-l1H&previous_page_section_name=1000,,,,,,,,,,,,,,
1750363994-3,https://id.airbnb.com/wishlists/v/1636252754?view_only_token=a2d073d9-5040-4cd1-b8f5-e4a14ff1a110&_set_bev_on_new_domain=1749222514_EAZDk2MTg0NDY0MW,,,Ikatan Grup Menanti: Vila Jimbaran Dengan Kolam Renang,"Kecamatan Kuta Selatan, Bali, Indonesia",5.0,16+ tamu ·  · 10 kamar tidur ·  · 15 tempat tidur ·  · 10 kamar mandi,5.0,5.0,4.9,5.0,4.6,5.0,¥ 45.446,untuk 1 malam,3. Jimbaran,,,,https://id.airbnb.com/rooms/1249758931546628762?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004216703710&source_impression_id=p3_1750363916_P3dLr39YAtpgb7oZ&previous_page_section_name=1000,,,,,,,,,,,,,,
1750364014-4,https://id.airbnb.com/wishlists/v/1636252754?view_only_token=a2d073d9-5040-4cd1-b8f5-e4a14ff1a110&_set_bev_on_new_domain=1749222514_EAZDk2MTg0NDY0MW,,,Liburan Jimbaran dengan Sentuhan Bali Autentik,"Kuta Selatan, Bali, Indonesia",4.7,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.7,4.8,4.7,4.6,4.3,4.7,¥ 4.254,untuk 1 malam,3. Jimbaran,,,,https://id.airbnb.com/rooms/17033167?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004216707176&source_impression_id=p3_1750363916_P3BgdCVKGn8zHDQB&previous_page_section_name=1000,,,,,,,,,,,,,,
1750364034-5,https://id.airbnb.com/wishlists/v/1636252754?view_only_token=a2d073d9-5040-4cd1-b8f5-e4a14ff1a110&_set_bev_on_new_domain=1749222514_EAZDk2MTg0NDY0MW,,,Vila Aneh di Tepi Kolam Renang di Jimbaran,"Jimbaran, Bali, Indonesia",4.63,8 tamu ·  · 4 kamar tidur ·  · 4 tempat tidur ·  · 4 kamar mandi,4.6,4.6,4.8,4.6,4.3,4.6,¥ 23.978,untuk 1 malam,3. Jimbaran,,,,https://id.airbnb.com/rooms/43112560?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004216707497&source_impression_id=p3_1750363916_P3xiVmxKax6sqZfP&previous_page_section_name=1000,,,,,,,,,,,,,,
1750364054-6,https://id.airbnb.com/wishlists/v/1636252754?view_only_token=a2d073d9-5040-4cd1-b8f5-e4a14ff1a110&_set_bev_on_new_domain=1749222514_EAZDk2MTg0NDY0MW,,,Kedatangan Segar: Liburan Keluarga Terbaik di Jimbaran,"Kuta Selatan, Bali, Indonesia",Baru,6 tamu ·  · 3 kamar tidur ·  · 3 tempat tidur ·  · 3 kamar mandi,0.0,0.0,0.0,0.0,0.0,0.0,¥ 64.176,untuk 2 malam,3. Jimbaran,,,,https://id.airbnb.com/rooms/1412838340282893981?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004887070301&source_impression_id=p3_1750363916_P3AxUL8zyp7ZCMoS&previous_page_section_name=1000,,,,,,,,,,,,,,
1750362449-1,https://www.airbnb.co.id/wishlists/v/1606481777?view_only_token=00ff9fd0-8fbe-416d-949d-c2a2e39325c6&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Sun - Kissed Sanctuary dengan Kolam Renang Pribadi di Ungasan,"Kecamatan Kuta Selatan, Bali, Indonesia",4.93,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.8,4.9,5.0,4.9,4.6,4.8,¥ 33.602,untuk 1 malam,10. Ungasan,,,,,,https://www.airbnb.co.id/rooms/1148978545680429549?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004044533351&source_impression_id=p3_1750362410_P3R4iSCj-iIV6j9k&previous_page_section_name=1000,,,,,,,,,,,,
1750362469-2,https://www.airbnb.co.id/wishlists/v/1606481777?view_only_token=00ff9fd0-8fbe-416d-949d-c2a2e39325c6&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Vila Berjemur dengan Kolam Renang Pribadi di Ungasan,"Kecamatan Kuta Selatan, Bali, Indonesia","4,92",2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi,4.9,4.9,5.0,4.9,4.8,4.9,¥ 27.317,untuk 1 malam,10. Ungasan,,,,,,https://www.airbnb.co.id/rooms/1148892754629150766?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004044533636&source_impression_id=p3_1750362410_P3Q_DLVsk01MpNaY&previous_page_section_name=1000,,,,,,,,,,,,
1750362489-3,https://www.airbnb.co.id/wishlists/v/1606481777?view_only_token=00ff9fd0-8fbe-416d-949d-c2a2e39325c6&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Ungasan Graceful Tropical Villa with Sunlit Pool,"Kecamatan Kuta Selatan, Bali, Indonesia",4.77,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.8,4.8,4.8,4.8,4.7,4.8,¥ 33.602,untuk 1 malam,10. Ungasan,,,,,,https://www.airbnb.co.id/rooms/1148881304405988107?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004044533766&source_impression_id=p3_1750362410_P3uOZhqsVD9uBH3t&previous_page_section_name=1000,,,,,,,,,,,,
1750362509-4,https://www.airbnb.co.id/wishlists/v/1606481777?view_only_token=00ff9fd0-8fbe-416d-949d-c2a2e39325c6&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Liburan Vila Akrab di Dekat Tempat Populer Ungasan,"Kecamatan Kuta Selatan, Bali, Indonesia",4.77,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi,4.9,5.0,5.0,4.9,4.7,4.9,¥ 28.800,untuk 1 malam,10. Ungasan,,,,,,https://www.airbnb.co.id/rooms/1148818153940787631?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004044533947&source_impression_id=p3_1750362410_P3lwExWzOuYotPwE&previous_page_section_name=1000,,,,,,,,,,,,
1750362529-5,https://www.airbnb.co.id/wishlists/v/1606481777?view_only_token=00ff9fd0-8fbe-416d-949d-c2a2e39325c6&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Vila Luas di Ungasan untuk Rombongan di Dekat Pantai,"Bukit, Bali, Indonesia",4.71,"10 tamu ·  · 5 kamar tidur ·  · 5 tempat tidur ·  · 5,5 kamar mandi",4.7,4.8,4.9,4.7,4.5,4.7,¥ 67.597,untuk 2 malam,10. Ungasan,,,,,,https://www.airbnb.co.id/rooms/34100635?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004148255546&source_impression_id=p3_1750362410_P33xsbpnb1PzXOB5&previous_page_section_name=1000,,,,,,,,,,,,
1750362549-6,https://www.airbnb.co.id/wishlists/v/1606481777?view_only_token=00ff9fd0-8fbe-416d-949d-c2a2e39325c6&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Vila Luas dengan Kolam Renang & Taman Rimbun di Ungasan,"Kecamatan Kuta Selatan, Bali, Indonesia",4.58,"4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2,5 kamar mandi",4.8,4.8,4.8,4.8,4.7,4.8,¥ 33.524,untuk 2 malam,10. Ungasan,,,,,,https://www.airbnb.co.id/rooms/1229969603320245520?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004155228741&source_impression_id=p3_1750362410_P3HKOEtnbGtabhNa&previous_page_section_name=1000,,,,,,,,,,,,
1750362569-7,https://www.airbnb.co.id/wishlists/v/1606481777?view_only_token=00ff9fd0-8fbe-416d-949d-c2a2e39325c6&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Grand Villa Retreat w/ Pool & Garden di Ungasan,"Kecamatan Kuta Selatan, Bali, Indonesia",4.74,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.7,4.8,4.9,4.7,4.6,4.7,¥ 42.030,untuk 2 malam,10. Ungasan,,,,,,https://www.airbnb.co.id/rooms/1229763427554175376?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004155229006&source_impression_id=p3_1750362410_P3lDaJ6jZwm_6uwj&previous_page_section_name=1000,,,,,,,,,,,,
1750362589-8,https://www.airbnb.co.id/wishlists/v/1606481777?view_only_token=00ff9fd0-8fbe-416d-949d-c2a2e39325c6&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Penginapan Grup Ungasan Placid: 9 menit ke Pantai Melasti,"Ungasan, Bali, Indonesia",4.79,"6 tamu ·  · 3 kamar tidur ·  · 3 tempat tidur ·  · 3,5 kamar mandi",4.7,4.8,4.8,4.8,4.1,4.8,¥ 41.648,untuk 2 malam,10. Ungasan,,,,,,https://www.airbnb.co.id/rooms/54131606?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004387941895&source_impression_id=p3_1750362410_P3aC6J2o-JyyE1AN&previous_page_section_name=1000,,,,,,,,,,,,
1750362609-9,https://www.airbnb.co.id/wishlists/v/1606481777?view_only_token=00ff9fd0-8fbe-416d-949d-c2a2e39325c6&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Liburan Tenang dengan Pemandangan Kolam Renang yang Menakjubkan untuk Grup,"Badung Regency, Bali, Indonesia",4.8,8 tamu ·  · 4 kamar tidur ·  · 4 tempat tidur ·  · 3 kamar mandi,4.7,4.8,4.8,4.7,4.4,4.8,¥ 59.572,untuk 2 malam,10. Ungasan,,,,,,https://www.airbnb.co.id/rooms/47126532?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004387942526&source_impression_id=p3_1750362410_P3SK7el6ZhF2_b0p&previous_page_section_name=1000,,,,,,,,,,,,
1750362629-10,https://www.airbnb.co.id/wishlists/v/1606481777?view_only_token=00ff9fd0-8fbe-416d-949d-c2a2e39325c6&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Vila Keluarga Elegan di Ungasan dengan Kolam Renang Pribadi,"Kecamatan Kuta Selatan, Bali, Indonesia",4.67,"6 tamu ·  · 3 kamar tidur ·  · 3 tempat tidur ·  · 3,5 kamar mandi",4.4,4.7,4.8,4.7,4.3,4.6,¥ 31.814,untuk 1 malam,10. Ungasan,,,,,,https://www.airbnb.co.id/rooms/1199588416513811500?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004387943753&source_impression_id=p3_1750362410_P3s-Y-R-sAvGJrEc&previous_page_section_name=1000,,,,,,,,,,,,
1750362649-11,https://www.airbnb.co.id/wishlists/v/1606481777?view_only_token=00ff9fd0-8fbe-416d-949d-c2a2e39325c6&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Vila Kayu Bali Autentik dengan Kolam Renang di Ungasan,"Kecamatan Kuta Selatan, Bali, Indonesia",4.87,12 tamu ·  · 6 kamar tidur ·  · 6 tempat tidur ·  · 6 kamar mandi,4.9,4.9,4.9,4.9,4.5,4.9,¥ 38.581,untuk 1 malam,10. Ungasan,,,,,,https://www.airbnb.co.id/rooms/1093049842342984141?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004387949404&source_impression_id=p3_1750362410_P3nWpqxaBCODfUsr&previous_page_section_name=1000,,,,,,,,,,,,
1750362669-12,https://www.airbnb.co.id/wishlists/v/1606481777?view_only_token=00ff9fd0-8fbe-416d-949d-c2a2e39325c6&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Vila Tropis di Pantai Ungasan dengan Kolam Renang,"Kecamatan Kuta Selatan, Bali, Indonesia",4.86,"4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2,5 kamar mandi",4.9,4.8,4.8,4.8,4.5,4.8,¥ 35.672,untuk 2 malam,10. Ungasan,,,,,,https://www.airbnb.co.id/rooms/958337951790732335?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004387949994&source_impression_id=p3_1750362410_P3THNBcwBq0Sltla&previous_page_section_name=1000,,,,,,,,,,,,
1750362689-13,https://www.airbnb.co.id/wishlists/v/1606481777?view_only_token=00ff9fd0-8fbe-416d-949d-c2a2e39325c6&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Berkumpul & Bersantai: Villa 2BR dengan Kolam Renang Dekat GWK Park,"Kecamatan Kuta Selatan, Bali, Indonesia",4.7,"4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2,5 kamar mandi",4.5,4.7,4.9,4.8,4.4,4.6,¥ 12.101,untuk 1 malam,10. Ungasan,,,,,,https://www.airbnb.co.id/rooms/1150454023192456934?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004387952664&source_impression_id=p3_1750362410_P3ArJarbxo51fuaT&previous_page_section_name=1000,,,,,,,,,,,,
1750362709-14,https://www.airbnb.co.id/wishlists/v/1606481777?view_only_token=00ff9fd0-8fbe-416d-949d-c2a2e39325c6&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Bersantai di Ungasan Pool Villa Dekat Atraksi Bali,"Kecamatan Kuta Selatan, Bali, Indonesia",4.8,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.8,5.0,4.8,4.8,4.4,4.9,¥ 59.494,untuk 2 malam,10. Ungasan,,,,,,https://www.airbnb.co.id/rooms/1238113021006503793?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004387954030&source_impression_id=p3_1750362410_P3vyYSI8cPYopPVu&previous_page_section_name=1000,,,,,,,,,,,,
1750362729-15,https://www.airbnb.co.id/wishlists/v/1606481777?view_only_token=00ff9fd0-8fbe-416d-949d-c2a2e39325c6&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Vila Voguish dengan Kolam Renang Pribadi Dekat Pantai Melasti,"Kecamatan Kuta Selatan, Bali, Indonesia",4.73,"4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2,5 kamar mandi",4.7,5.0,4.5,4.6,4.7,4.6,¥ 74.367,untuk 2 malam,10. Ungasan,,,,,,https://www.airbnb.co.id/rooms/1358447199458033698?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004571250804&source_impression_id=p3_1750362410_P3_1SBsbRAMqIaeL&previous_page_section_name=1000,,,,,,,,,,,,
1750362749-16,https://www.airbnb.co.id/wishlists/v/1606481777?view_only_token=00ff9fd0-8fbe-416d-949d-c2a2e39325c6&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Vila Tropis Modern yang Luas di Ungasan dengan Kolam Renang,"Kecamatan Kuta Selatan, Bali, Indonesia",5.0,8 tamu ·  · 4 kamar tidur ·  · 4 tempat tidur ·  · 4 kamar mandi,5.0,5.0,4.9,5.0,4.9,4.9,¥ 35.754,untuk 2 malam,10. Ungasan,,,,,,https://www.airbnb.co.id/rooms/1369265332136406675?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004668742269&source_impression_id=p3_1750362410_P3gTT7ylXikvRMM_&previous_page_section_name=1000,,,,,,,,,,,,
1750362769-17,https://www.airbnb.co.id/wishlists/v/1606481777?view_only_token=00ff9fd0-8fbe-416d-949d-c2a2e39325c6&_set_bev_on_new_domain=1749222555_EANTRkYzY5NzEwZm,,,Penginapan Ungasan Eksklusif dengan Sunrise & Ocean View,"Kecamatan Kuta Selatan, Bali, Indonesia","4,86",2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.9,4.8,4.9,4.9,4.7,4.9,¥ 7.108,untuk 1 malam,10. Ungasan,,,,,,https://www.airbnb.co.id/rooms/1312814022104776129?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004856505999&source_impression_id=p3_1750362410_P3Ho7VvkvvM11bsT&previous_page_section_name=1000,,,,,,,,,,,,
1750365043-1,https://id.airbnb.com/wishlists/v/1629455077?view_only_token=2f64c92a-9c98-4b45-bf55-a08d625d0bfb,,,Majestic A - Frames Kintamani Lodge for Small Groups,"Kecamatan Kintamani, Bali, Indonesia",5.0,2 kamar tidur ·  · 4 tempat tidur single ·  · Kamar mandi pribadi di kamar,4.8,4.9,5.0,5.0,5.0,5.0,¥ 12.008,untuk 1 malam,7. Sidemendankintamani,,,,,,,,https://id.airbnb.com/rooms/1047613650303893053?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004177489243&source_impression_id=p3_1750365005_P3kcEE0UqINcdsg1&previous_page_section_name=1000,,,,,,,,,,
1750365063-2,https://id.airbnb.com/wishlists/v/1629455077?view_only_token=2f64c92a-9c98-4b45-bf55-a08d625d0bfb,,,Penginapan A - Frame Terpencil dengan Pemandangan Gunung Kintamani,"Kecamatan Kintamani, Bali, Indonesia",4.56,2 tempat tidur single ·  · Kamar mandi pribadi di kamar,4.6,4.7,4.5,4.8,4.6,4.5,¥ 5.751,untuk 1 malam,7. Sidemendankintamani,,,,,,,,https://id.airbnb.com/rooms/737150247907711185?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004177489597&source_impression_id=p3_1750365005_P3CU8K0yNt1Gp79s&previous_page_section_name=1000,,,,,,,,,,
1750365083-3,https://id.airbnb.com/wishlists/v/1629455077?view_only_token=2f64c92a-9c98-4b45-bf55-a08d625d0bfb,,,Glamping Grup Alam dengan Pemandangan Panorama,"Kecamatan Kintamani, Bali, Indonesia",4.79,6 tamu ·  · 3 kamar tidur ·  · 3 tempat tidur ·  · 3 kamar mandi,4.7,4.8,4.5,4.8,4.5,4.7,¥ 12.858,untuk 1 malam,7. Sidemendankintamani,,,,,,,,https://id.airbnb.com/rooms/710398941471926311?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004177489731&source_impression_id=p3_1750365005_P38VWqNU1Heb9KbW&previous_page_section_name=1000,,,,,,,,,,
1750365103-4,https://id.airbnb.com/wishlists/v/1629455077?view_only_token=2f64c92a-9c98-4b45-bf55-a08d625d0bfb,,,Glamping Kubah Kintamani dengan Pemandangan Gunung yang Indah,"Kecamatan Kintamani, Bali, Indonesia",4.64,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi pribadi,4.6,4.8,4.5,4.8,4.5,4.8,¥ 4.366,untuk 1 malam,7. Sidemendankintamani,,,,,,,,https://id.airbnb.com/rooms/658184239336720135?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004177489862&source_impression_id=p3_1750365005_P3EfqhTMwuc9vcXZ&previous_page_section_name=1000,,,,,,,,,,
1750282366-1,https://id.airbnb.com/wishlists/v/1629445841?view_only_token=e55839f5-0dce-4100-8189-57ac5d3d4621,,,Vila 4BR Tropis Luas dengan Kolam Renang di Uluwatu,"Seluruh rumah di Kuta Selatan, Indonesia",4.84,8 tamu ·  · 4 kamar tidur ·  · 6 tempat tidur ·  · 4 kamar mandi,4.8,4.9,4.9,4.9,4.8,4.8,¥ 90.269,untuk 2 malam,9. Uluwatu,,,,,,,,,,https://id.airbnb.com/rooms/42885147?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004177433501&source_impression_id=p3_1750282336_P3WpT7FC5MN27_ro&previous_page_section_name=1000,,,,,,,,
1750282386-2,https://id.airbnb.com/wishlists/v/1629445841?view_only_token=e55839f5-0dce-4100-8189-57ac5d3d4621,,,Vila Gaya Warisan Budaya untuk Grup Dekat Pura Uluwatu,"Seluruh vila di Kecamatan Kuta Selatan, Indonesia",4.87,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.7,4.9,4.7,4.8,4.7,4.8,¥ 26.599,untuk 1 malam,9. Uluwatu,,,,,,,,,,https://id.airbnb.com/rooms/1237430174518661022?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004212903623&source_impression_id=p3_1750282336_P3O1ioC1k9BWpAGG&previous_page_section_name=1000,,,,,,,,
1750282406-3,https://id.airbnb.com/wishlists/v/1629445841?view_only_token=e55839f5-0dce-4100-8189-57ac5d3d4621,,,Vila Akrab Pasangan dengan Kolam Renang di Uluwatu,"Seluruh vila di Kecamatan Kuta Selatan, Indonesia",4.69,2 tamu ·  · 1 kamar tidur ·  · 1 tempat tidur ·  · 1 kamar mandi,4.7,4.8,4.8,4.8,4.5,4.7,¥ 18.277,untuk 1 malam,9. Uluwatu,,,,,,,,,,https://id.airbnb.com/rooms/1187221825440375437?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004212903675&source_impression_id=p3_1750282336_P36tK9QmlNmhC2br&previous_page_section_name=1000,,,,,,,,
1750282426-4,https://id.airbnb.com/wishlists/v/1629445841?view_only_token=e55839f5-0dce-4100-8189-57ac5d3d4621,,,Vila Boho Keluarga Terpencil Dekat Pantai Nyang Nyang,"Seluruh vila di Kecamatan Kuta Selatan, Indonesia",4.55,4 tamu ·  · 2 kamar tidur ·  · 2 tempat tidur ·  · 2 kamar mandi,4.7,4.7,4.6,4.6,4.2,4.5,¥ 64.233,untuk 2 malam,9. Uluwatu,,,,,,,,,,https://id.airbnb.com/rooms/1287975372353817564?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004212904814&source_impression_id=p3_1750282336_P3luH-k-Km-obpX-&previous_page_section_name=1000,,,,,,,,
1750282446-5,https://id.airbnb.com/wishlists/v/1629445841?view_only_token=e55839f5-0dce-4100-8189-57ac5d3d4621,,,Vila Grup Luas Dekat Tempat Berselancar Uluwatu,"Seluruh rumah di Kuta Selatan, Indonesia",4.75,6 tamu ·  · 3 kamar tidur ·  · 3 tempat tidur ·  · 3 kamar mandi,4.7,4.8,4.8,4.8,4.7,4.7,¥ 66.930,untuk 2 malam,9. Uluwatu,,,,,,,,,,https://id.airbnb.com/rooms/42794572?adults=1&children=0&infants=0&pets=0&wishlist_item_id=11004212906561&source_impression_id=p3_1750282336_P3a9Z7pXbYLkZ6ec&previous_page_section_name=1000,,,,,,,,
